Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W86.4o RSCnc087e-RSCnc085e         14.73432       357.1       172.2         4.1
W86.59 RSCnc087e-RSCnc085e         14.73441       357.1       272.1         3.1
W87.19 RSCnc087e-RSCnc085e         14.73471       357.3        96.1         3.4
W87.19 RSCnc087i-RSCnc085i         14.74423         2.6        64.2        19.9
W86.4i RSCnc087i-RSCnc085i         14.74464         2.8       208.4        11.6
W85.67 RSCnc087i-RSCnc085i         14.74512         3.1       142.9         6.6
W84.82 RSCnc087i-RSCnc085i         14.74592         3.5       212.9         5.2
W84.64 RSCnc087i-RSCnc085i         14.74614         3.6       186.7         7.2
W83.63 RSCnc087i-RSCnc085i         14.74791         4.6        11.3         7.4
W82.00 gamCru081i-gamCru079i       14.75540       359.2       169.5         2.9
W82.06 gamCru081i-gamCru079i       14.75540       359.2       232.4         8.9
W82.21 gamCru081i-gamCru079i       14.75540       359.2        82.1         7.7
W84.64 gamCru081i-gamCru079i       14.75540       359.2       161.1        14.1
W84.82 gamCru081i-gamCru079i       14.75540       359.2       177.2         2.8
W84.86 gamCru081i-gamCru079i       14.75540       359.2       203.5         1.7
W86.4i gamCru081i-gamCru079i       14.75540       359.2       151.0         7.9
W86.59 gamCru081i-gamCru079i       14.75540       359.2       248.3        12.7
W87.19 gamCru081i-gamCru079i       14.75540       359.2        45.2         2.2
W83.63 RSCnc087e-RSCnc085i         14.78269        23.5        54.0        15.9
W84.64 RSCnc087e-RSCnc085i         14.79413        29.5        51.1         5.2
W84.82 RSCnc087e-RSCnc085i         14.79595        30.4       167.5         5.2
W86.4i RSCnc087e-RSCnc085i         14.80990        37.5        62.9        14.2
W86.59 RSCnc087e-RSCnc085i         14.81140        38.2       161.6         7.9
W82.00 gamCru096i-gamCru094i       15.42664       353.6       255.6         4.0
W82.06 gamCru096i-gamCru094i       15.42665       353.6       317.1         2.0
W82.21 gamCru096i-gamCru094i       15.42667       353.6       194.6         8.1
W84.64 gamCru096i-gamCru094i       15.42704       353.8       167.3         6.1
W85.67 gamCru096i-gamCru094i       15.42719       353.8       308.1        14.1
W86.4o gamCru096i-gamCru094i       15.42731       353.9       290.1         6.0
W86.59 gamCru096i-gamCru094i       15.42733       353.9        38.0         7.6
W86.59 RSCnc080i-betGru078i        15.72183       144.2        33.0         2.6
W85.67 RSCnc080i-betGru078i        15.72265       142.8        42.1         9.7
W84.64 RSCnc080i-betGru078i        15.72303       140.2        77.7         5.4
W84.82 RSCnc080i-betGru078i        15.72304       140.8       320.1         6.5
W84.64 RSCnc080e-betGru078i        15.80603       186.0       199.4         8.4
W84.82 RSCnc080e-betGru078i        15.80723       187.2       248.5         7.7
W84.86 RSCnc080e-betGru078i        15.80752       187.5       258.6         0.6
W85.67 RSCnc080e-betGru078i        15.81224       191.8       293.2         5.3
W86.4o RSCnc080e-betGru078i        15.81611       195.2       276.5         3.0
W86.59 RSCnc080e-betGru078i        15.81689       195.8        20.6         9.6
W86.59 RSCnc080i-gamCru078i        16.25978       258.4       162.6         2.6
W86.4o RSCnc080i-gamCru078i        16.25998       258.6       113.0         2.5
W86.4i RSCnc080i-gamCru078i        16.26002       258.7        85.3         3.0
W84.82 RSCnc080i-gamCru078i        16.26230       261.3        69.4         8.3
W84.64 RSCnc080i-gamCru078i        16.26259       261.6       118.4         3.6
W83.63 RSCnc080i-gamCru078i        16.26435       263.4       152.3        11.2
W82.21 RSCnc080i-gamCru078i        16.26734       266.4       200.2         3.2
W82.06 RSCnc080i-gamCru078i        16.26770       266.7       353.6         3.4
W82.00 RSCnc080i-gamCru078i        16.26782       266.8       263.0        16.4
W80.98 RSCnc080i-gamCru078i        16.27061       269.4       247.8        11.8
W80.98 RSCnc080e-gamCru078i        16.32562       300.7        17.9        11.0
W82.00 RSCnc080e-gamCru078i        16.33175       302.9        38.5        12.3
W82.06 RSCnc080e-gamCru078i        16.33204       303.0       129.2         5.1
W82.21 RSCnc080e-gamCru078i        16.33289       303.3       337.6         2.0
W83.63 RSCnc080e-gamCru078i        16.34055       305.8       222.3         7.2
W84.64 RSCnc080e-gamCru078i        16.34560       307.4       239.3         9.1
W84.86 RSCnc080e-gamCru078i        16.34671       307.7        18.9         7.2
W85.67 RSCnc080e-gamCru078i        16.35060       308.8       204.7         2.0
W86.4o RSCnc080e-gamCru078i        16.35411       309.8        12.3         0.3
Mi 6:2 muCep191i-WHya189e          16.38987       353.9       235.5         4.1
W87.19 muCep191i-WHya189e          16.39985       353.7       328.3        10.1
W86.4i muCep191i-WHya189e          16.40273       353.6       101.8         5.7
