Co-rotating                                                         Phase-Corrected Normal Equivalent Width (m)
Longitude                Rev 201        Rev 206         Rev 211        Rev 212        Rev 218        Rev 228        Rev 231       Rev 231        Rev 233        
(degrees)                DRNGMOV        DRLPMOV         DRCLOSE        DRCLOSE        HPLELR         HPLELR         DRCLOSE       FNTHPMOV       FNTHPMOV  
==========================================================================================================================================================
        -158.30          35.71          26.04           0.00           0.00           0.00           0.00          27.95          22.04          25.81
        -158.20          36.80          17.96           0.00           0.00           0.00           0.00          28.49          20.41          25.51
        -158.10          37.68           6.87           0.00           0.00           0.00           0.00          28.34          18.29          26.90
        -158.00          37.23          20.92           0.00           0.00           0.00           0.00          29.24          22.08          26.50
        -157.90          37.17          22.77           0.00           0.00           0.00           0.00           0.00          24.18          25.95
        -157.80          37.75          16.06           0.00           0.00           0.00           0.00           0.00          22.34          26.30
        -157.70          35.57          14.37           0.00           0.00           0.00           0.00           0.00          20.61          26.72
        -157.60          36.45          23.51           0.00           0.00           0.00           0.00           0.00          18.84          26.64
        -157.50          38.85          28.95           0.00           0.00           0.00          13.63           0.00          22.45          26.78
        -157.40          36.76          39.96           0.00           0.00           0.00          17.46           0.00          26.42          25.11
        -157.30          36.61          38.17           0.00           0.00           0.00          18.33           0.00          25.66          26.31
        -157.20          37.78          20.49           0.00           0.00           0.00          18.75           0.00          25.65          27.35
        -157.10          37.09          18.78           0.00           0.00           0.00          19.26           0.00          23.51          27.02
        -157.00          35.94          33.88           0.00           0.00           0.00          19.71           0.00          23.08          26.25
        -156.90          35.94          15.34           0.00           0.00           0.00          20.57           0.00          25.09          26.68
        -156.80          35.89           9.05           0.00           0.00           0.00          18.74           0.00          26.36          27.09
        -156.70          36.87          34.50           0.00           0.00           0.00          17.54           0.00          28.02          27.29
        -156.60          37.34          28.92           0.00           0.00           0.00          19.71           0.00          23.26          27.62
        -156.50          36.14          28.12           0.00           0.00           0.00          19.79           0.00          19.47          26.32
        -156.40          35.84           4.00           0.00           0.00           0.00          20.12           0.00          17.67          27.63
        -156.30          37.97          -3.45           0.00           0.00           0.00          20.43           0.00          16.81          26.91
        -156.20          37.22          18.08           0.00           0.00           0.00          20.91           0.00          29.35          26.22
        -156.10          37.02          41.50           0.00           0.00           0.00          21.27           0.00          28.34          26.25
        -156.00          37.26          41.24           0.00           0.00           0.00          21.79           0.00          25.17          26.12
        -155.90          35.33          38.00           0.00           0.00           0.00          22.40           0.00          26.34          25.96
        -155.80          36.08          32.71           0.00           0.00           0.00          22.29           0.00          23.56          26.11
        -155.70          38.19          41.19           0.00           0.00           0.00          23.45           0.00          26.30          25.99
        -155.60          38.29          37.15           0.00           0.00           0.00          23.40           0.00          25.44          24.93
        -155.50          38.00           9.19           0.00           0.00           0.00          23.74           0.00          25.23          25.32
        -155.40          39.20          12.63           0.00           0.00           0.00          23.90           0.00          27.56          28.59
        -155.30          38.01           3.29           0.00           0.00           0.00          24.46           0.00          31.28          26.82
        -155.20          37.49          16.91           0.00           0.00           0.00          24.94           0.00          30.02          23.70
        -155.10          38.15          37.43           0.00           0.00           0.00          25.12           0.00          26.45          23.96
        -155.00          37.12          35.27           0.00           0.00           0.00          25.37           0.00          26.45          25.86
        -154.90          36.78          36.38           0.00           0.00           0.00          25.53           0.00          27.48          24.70
        -154.80          37.03          45.58           0.00           0.00           0.00          25.48           0.00          22.46          24.48
        -154.70          37.25          43.91           0.00           0.00           0.00          25.80           0.00          26.57          25.79
        -154.60          36.21          40.72           0.00           0.00           0.00          25.85           0.00          28.53          25.60
        -154.50          37.06          43.85           0.00           0.00           0.00          26.02           0.00          22.37          25.75
        -154.40          37.56          28.97           0.00           0.00           0.00          26.04           0.00          23.31          25.85
        -154.30          35.70          25.84           0.00           0.00           0.00          26.19           0.00          20.05          28.04
        -154.20          36.79          40.31           0.00           0.00           0.00          26.31           0.00          22.02          27.73
        -154.10          37.56          36.41           0.00           0.00           0.00          26.43           0.00          24.85          28.02
        -154.00          37.58          23.44           0.00           0.00           0.00          26.36           0.00          27.51          28.22
        -153.90          36.71          16.84           0.00           0.00           0.00          26.51           0.00          28.98          28.50
        -153.80          37.71           1.94           0.00           0.00           0.00          26.74           0.00          32.51          26.75
        -153.70          36.41          22.70           0.00           0.00           0.00          26.77           0.00          23.51          27.16
        -153.60          36.98          26.52           0.00           0.00           0.00          26.92           0.00          24.02          28.78
        -153.50          36.46           7.92           0.00           0.00           0.00          27.02           0.00          27.83          27.38
        -153.40          38.50          -4.74           0.00           0.00           0.00          27.12           0.00          29.02          25.93
        -153.30          35.51          10.88           0.00           0.00           0.00          27.08           0.00          27.27          26.00
        -153.20          34.10          -7.24           0.00           0.00           0.00          26.88           0.00          27.77          26.49
        -153.10          36.24           7.65           0.00           0.00           0.00          26.85           0.00          22.96          25.77
        -153.00          35.88          14.95           0.00           0.00           0.00          26.56           0.00          25.66          25.93
        -152.90          36.94          17.19           0.00           0.00           0.00          26.40           0.00          20.83          26.69
        -152.80          37.13          19.30           0.00           0.00           0.00          26.64           0.00          19.04          25.16
        -152.70          35.41          20.60           0.00           0.00           0.00          26.68           0.00          23.96          26.38
        -152.60          35.67          22.20           0.00           0.00           0.00          26.81           0.00          29.60          26.28
        -152.50          36.26          23.50           0.00           0.00           0.00          26.86           0.00          28.73          27.58
        -152.40          36.54          22.58           0.00           0.00           0.00          26.73           0.00          25.67          26.26
        -152.30          35.23          28.28           0.00           0.00           0.00          26.75           0.00          27.77          26.11
        -152.20          37.11          30.54           0.00           0.00           0.00          26.54           0.00          23.21          27.36
        -152.10          37.01          18.87           0.00           0.00           0.00          26.51           0.00          25.37          27.00
        -152.00          36.79           0.02           0.00           0.00           0.00          26.53           0.00          31.50          26.89
        -151.90          36.64          -1.40           0.00           0.00           0.00          26.58           0.00          31.91          26.75
        -151.80          36.04          11.81           0.00           0.00           0.00          26.77           0.00          32.32          27.14
        -151.70          37.05          15.24           0.00           0.00           0.00          26.87           0.00          28.71          25.88
        -151.60          38.20          14.19           0.00           0.00           0.00          26.91           0.00          27.45          26.22
        -151.50          37.05          19.26           0.00           0.00           0.00          26.98           0.00          30.85          25.97
        -151.40          35.58          18.07           0.00           0.00           0.00          26.37           0.00          31.93          25.94
        -151.30          35.79          13.84           0.00           0.00           0.00          26.12           0.00          25.53          26.06
        -151.20          34.99          15.21           0.00           0.00           0.00          25.91           0.00          18.47          27.13
        -151.10          34.29          17.80           0.00           0.00           0.00          25.78           0.00          23.86          26.64
        -151.00          36.85          29.11           0.00           0.00           0.00           0.00           0.00          23.90          26.85
        -150.90          36.73          24.50           0.00           0.00           0.00           0.00           0.00          21.28          27.65
        -150.80          38.33          24.18           0.00           0.00           0.00           0.00           0.00          25.49          28.31
        -150.70          36.91          13.97           0.00           0.00           0.00           0.00           0.00          24.77          27.15
        -150.60          37.21          16.24           0.00           0.00           0.00           0.00           0.00          25.18          25.86
